start_sec;end_sec;mark;duration
0,0;0,35756;...;0,35756
5,10365;59,33871;...;54,23506
59,61849;105,66336;...;46,044869999999996
113,63296;114,05838;...;0,4254200000000026
118,91525;119,02916;...;0,11391000000000417
121,07722;125,32553;...;4,248310000000004
125,32553;125,87426;((risos));0,5487300000000062
125,87426;409,16256;...;283,2883
410,10593;410,6319;...;0,5259699999999725
412,72782;412,93909;...;0,21127000000001317
420,21351;509,20222;...;88,98871000000003
509,20222;509,85358;[( );0,651360000000011
509,85358;556,28419;...;46,430609999999945
560,40133;705,21941;...;144,81808
705,57696;962,89488;...;257,31791999999996
973,21497;1166,78379;...;193,56881999999996
1167,25928;1198,67003;...;31,410750000000007
1199,9982;1201,24476;...;1,246560000000045
1202,33598;1369,62679;...;167,29080999999996
1370,10736;1424,81526;...;54,70790000000011
1433,46669;1433,83137;...;0,3646800000001349
1435,56544;1506,72848;...;71,16303999999991
1507,38011;2094,73359;...;587,3534799999998
2094,73359;2095,19448;( );0,46089000000029046
2095,19448;2208,78759;...;113,5931099999998
2209,01203;2209,58251;...;0,5704800000003161
2216,5687;2226,77881;...;10,210109999999986
2226,77881;2227,04941;( );0,27060000000028595
2227,04941;2405,11325;...;178,0638399999998
2405,11325;2405,6773;[((risos));0,564049999999952
2405,6773;2665,38497;...;259,70767000000023
2668,25221;2671,92627;...;3,6740599999998267
2671,92627;2672,31144;[((risos));0,38517000000001644
2672,31144;2771,25635;...;98,94491000000016
2776,99359;2881,27544;...;104,28184999999985
2883,92453;3301,12209;...;417,19756000000007
3303,50301;3304,24;...;0,7369899999998779
3305,44788;3306,25381;...;0,8059299999999894
3307,08212;3779,00583;...;471,92371
3781,53626;4467,0697;...;685,5334400000002
4473,86746;4845,54987;...;371,68240999999944
4845,92165;4966,731;...;120,80934999999954
4967,73423;4968,89687;...;1,1626399999995556
4970,01217;4972,24;...;2,2278299999998126
0,0;0,35756;...;0,35756
5,10365;59,33871;...;54,23506
59,61849;105,66336;...;46,044869999999996
110,16548;110,81598;...;0,6504999999999939
113,63296;114,05838;...;0,4254200000000026
114,46849;115,71707;...;1,248580000000004
117,2862;117,9919;...;0,7057000000000073
118,91525;119,02916;...;0,11391000000000417
121,07722;125,32553;...;4,248310000000004
125,32553;125,87426;((risos));0,5487300000000062
125,87426;409,16256;...;283,2883
410,10593;410,6319;...;0,5259699999999725
412,72782;412,93909;...;0,21127000000001317
416,96902;417,38666;...;0,4176400000000058
418,56752;419,09326;...;0,5257399999999848
420,21351;509,20222;...;88,98871000000003
509,20222;509,85358;[( );0,651360000000011
509,85358;556,28419;...;46,430609999999945
558,31641;558,44415;...;0,12774000000001706
559,53984;559,63811;...;0,09826999999995678
560,40133;705,21941;...;144,81808
705,57696;962,89488;...;257,31791999999996
964,91646;965,18893;...;0,27246999999999844
967,40694;967,68833;...;0,2813899999999876
973,21497;1166,78379;...;193,56881999999996
1167,25928;1198,67003;...;31,410750000000007
1199,9982;1201,24476;...;1,246560000000045
1202,33598;1369,62679;...;167,29080999999996
1370,10736;1424,81526;...;54,70790000000011
1425,21027;1425,52854;...;0,31826999999998407
1426,50324;1426,76184;...;0,2585999999998876
1427,46343;1427,96736;...;0,5039300000000821
1429,41283;1429,9698;...;0,5569700000000921
1430,38313;1430,69477;...;0,31164000000012493
1433,46669;1433,83137;...;0,3646800000001349
1435,56544;1506,72848;...;71,16303999999991
1507,38011;2094,73359;...;587,3534799999998
2094,73359;2095,19448;( );0,46089000000029046
2095,19448;2208,78759;...;113,5931099999998
2209,01203;2209,58251;...;0,5704800000003161
2212,77323;2213,34371;...;0,5704800000003161
2215,31534;2215,52166;...;0,2063199999997778
2216,5687;2226,77881;...;10,210109999999986
2226,77881;2227,04941;( );0,27060000000028595
2227,04941;2405,11325;...;178,0638399999998
2405,11325;2405,6773;[((risos));0,564049999999952
2405,6773;2665,38497;...;259,70767000000023
2668,25221;2671,92627;...;3,6740599999998267
2671,92627;2672,31144;[((risos));0,38517000000001644
2672,31144;2771,25635;...;98,94491000000016
2772,57294;2772,8842;...;0,31125999999994747
2776,99359;2881,27544;...;104,28184999999985
2882,77257;2883,28383;...;0,5112599999997656
2883,92453;3301,12209;...;417,19756000000007
3303,50301;3304,24;...;0,7369899999998779
3305,44788;3306,25381;...;0,8059299999999894
3307,08212;3779,00583;...;471,92371
3781,53626;4467,0697;...;685,5334400000002
4470,14895;4470,36862;...;0,2196700000004057
4472,96653;4473,40376;...;0,4372300000004543
4473,86746;4845,54987;...;371,68240999999944
4845,92165;4966,731;...;120,80934999999954
4967,73423;4968,89687;...;1,1626399999995556
4970,01217;4972,24;...;2,2278299999998126
0,0;181,31597;...;181,31597
193,56682;248,06291;...;54,49608999999998
250,60279;550,23247;...;299,62968
552,23309;730,51864;...;178,28555000000006
732,98578;733,3222;...;0,3364199999999755
735,57371;862,47163;...;126,89792
868,70332;869,16607;...;0,4627500000000282
870,91139;942,03875;...;71,12736000000007
942,03875;942,5268;[( );0,48804999999993015
942,5268;1504,07772;...;561,55092
1504,07772;1505,07921;[((risos));1,0014900000001035
1505,07921;1602,16696;...;97,08774999999991
1609,91691;1761,21199;...;151,2950800000001
1776,11776;2382,06825;...;605,9504899999997
2392,01048;2392,43168;...;0,4212000000002263
2397,39357;2398,82938;...;1,4358099999999467
2401,76445;2423,30793;...;21,543479999999818
2423,70972;2800,0165;...;376,30678000000034
2811,59827;2957,07987;...;145,48160000000007
2966,59002;2968,64;...;2,0499799999997776
2974,6159;3469,23307;...;494,61717000000044
