start_sec;end_sec;mark;duration
0,0;0,11046;...;0,11046
23,56936;56,23689;...;32,66753
56,23689;56,95024;((risos));0,7133499999999984
56,95024;73,73345;...;16,783210000000004
74,0812;76,89951;...;2,818310000000011
77,29554;267,97418;...;190,67863999999997
267,97418;269,06911;[((risos));1,0949300000000335
269,06911;270,14092;...;1,0718099999999708
275,61098;405,77175;...;130,16077
410,7407;423,23771;...;12,497009999999989
426,81751;427,03379;...;0,21627999999998337
428,7465;506,26324;...;77,51673999999997
506,78365;551,68536;...;44,90170999999992
558,05697;558,20827;...;0,151299999999992
559,22915;635,00211;...;75,77296000000001
641,21682;646,59567;...;5,378850000000057
650,44174;669,12819;...;18,686450000000036
669,47573;674,70673;...;5,2309999999999945
674,9966;680,08506;...;5,088460000000055
680,4682;752,6563;...;72,18809999999996
755,07041;760,91628;...;5,845869999999991
760,91628;762,10538;((risos));1,1890999999999394
762,10538;763,68962;...;1,5842400000000225
771,41123;830,74467;...;59,333439999999996
838,59626;851,34781;...;12,751549999999952
851,9185;856,26395;...;4,345450000000028
859,17222;931,28613;...;72,11390999999992
931,28613;932,16831;[((risos));0,8821800000000621
932,16831;943,05271;...;10,884400000000028
943,4595;944,82421;...;1,3647099999999455
944,82421;945,59842;((risos));0,7742100000000391
945,59842;947,26257;...;1,6641499999999496
951,28054;963,73206;...;12,451520000000073
963,73206;965,76152;pode tomar um cafezinho viu? ((risos));2,029459999999972
965,76152;990,57149;...;24,80997000000002
990,57149;991,18602;((risos));0,6145299999999452
991,18602;1043,42799;...;52,241969999999924
1043,99813;1055,82423;...;11,826099999999997
1056,18522;1057,23479;...;1,0495699999999033
1067,50709;1116,76148;...;49,25438999999983
1119,16628;1125,97354;...;6,807260000000042
1126,36859;1146,42629;...;20,057700000000068
1150,70519;1156,68731;...;5,982120000000123
1157,09118;1186,78836;...;29,697180000000117
1186,78836;1187,86229;((risos));1,0739300000000185
1187,86229;1190,95134;...;3,089050000000043
1195,57272;1195,98447;...;0,411750000000211
1200,86035;1276,9246;...;76,06425000000013
1283,67215;1286,91201;...;3,239859999999908
1286,91201;1288,15477;((risos));1,2427600000000893
1288,15477;1324,42585;...;36,271079999999984
1324,42585;1327,76938;[((risos));3,3435299999998733
1327,76938;1329,03176;...;1,262380000000121
1331,97468;1332,05818;...;0,08349999999995816
1333,74496;1359,57343;...;25,828469999999925
1359,57343;1360,18456;((risos));0,6111300000000028
1360,18456;1361,66192;...;1,4773600000000897
1361,66192;1362,39415;((risos));0,7322300000000723
1362,39415;1407,30261;...;44,90845999999988
1414,20137;1441,609;...;27,407629999999926
