start_sec;end_sec;mark;duration
0,0;16,31931;...;16,31931
16,31931;16,83634;((risos));0,5170299999999983
16,83634;29,71917;...;12,882829999999998
29,71917;30,25666;((risos));0,5374900000000018
30,25666;71,84972;...;41,59306000000001
71,84972;72,9891;[((risos));1,1393799999999885
72,9891;73,67516;...;0,6860600000000119
76,34545;86,24799;...;9,902540000000002
89,94665;109,68233;...;19,735679999999988
115,74302;143,47652;...;27,733499999999992
144,08974;144,93818;...;0,8484399999999823
149,33479;174,1297;...;24,794910000000016
174,8191;196,43382;...;21,614720000000005
199,17848;222,90251;...;23,72403
223,53163;224,15571;...;0,6240799999999922
225,9168;236,18268;...;10,26588000000001
237,68487;276,72475;...;39,03987999999998
279,37777;288,66842;...;9,290650000000028
288,66842;289,36101;((risos));0,6925899999999956
289,36101;291,15286;...;1,791849999999954
292,98876;294,63059;...;1,6418299999999704
296,86683;354,74169;...;57,87486000000001
358,12;370,90745;...;12,787449999999978
370,90745;371,59858;[ah é?;0,6911300000000438
371,59858;380,53187;...;8,93329
380,53187;381,26653;com [açúcar?;0,7346599999999626
381,26653;385,14276;...;3,876230000000021
385,14276;385,37248;( );0,22971999999998616
385,37248;390,34733;...;4,9748500000000035
390,34733;392,32;[((risos));1,9726699999999937
392,32;396,6;...;4,28000000000003
402,62894;414,14265;...;11,513710000000003
414,14265;419,1813;[((risos)) ( ) (faz favor) ((risos));5,038650000000018
419,1813;420,97844;...;1,7971399999999562
420,97844;423,00682;[((risos));2,028380000000027
423,00682;433,91312;...;10,906299999999987
435,40402;458,31555;...;22,91152999999997
461,84943;501,35708;...;39,50765000000001
501,35708;503,2587;[((risos));1,9016199999999799
503,2587;505,27804;...;2,0193399999999997
512,99681;539,27125;...;26,274440000000027
539,27125;540,04934;[(em particular);0,7780900000000202
540,04934;543,6696;...;3,6202599999999165
549,89349;554,64966;...;4,756169999999997
555,28;573,40999;...;18,12999000000002
573,40999;573,9926;[hum:::;0,5826100000000451
573,9926;585,48816;...;11,495559999999955
585,88977;590,84949;...;4,9597199999999475
595,01282;600,34981;...;5,336990000000014
600,34981;602,31997;[((risos));1,9701599999999644
602,31997;614,56765;...;12,247679999999946
614,56765;615,08622;( );0,5185700000000679
615,08622;618,58234;...;3,496120000000019
622,3127;650,9398;...;28,62710000000004
654,21824;663,24597;...;9,02773000000002
663,73038;665,03971;...;1,3093300000000454
668,88243;669,0733;...;0,19087000000001808
669,64327;672,46438;...;2,821109999999976
672,46438;676,9806;[isso ((risos)) (me dá) a receita completa ((risos));4,516219999999976
676,9806;689,01234;...;12,031740000000013
689,01234;691,77966;[não ((risos));2,7673200000000406
691,77966;694,12548;...;2,3458200000000033
694,66977;733,54709;...;38,877320000000054
733,9753;736,1745;...;2,199200000000019
736,52694;754,01556;...;17,488620000000083
756,17499;810,62611;...;54,45112000000006
810,62611;811,95193;((risos));1,3258199999999078
814,15037;816,81049;...;2,6601200000000063
816,81049;818,23238;[((risos));1,4218900000000758
818,23238;853,101;...;34,868619999999964
853,101;857,47;hum::... [(dá) uma fome que eu não estou aguentando mais viu?;4,369000000000028
857,47;861,76121;...;4,291209999999978
861,76121;863,48478;[((risos));1,7235699999999952
863,48478;864,38413;...;0,8993500000000267
867,47306;905,10905;...;37,63598999999999
905,10905;905,96968;[((risos));0,8606300000000147
905,96968;935,40041;...;29,430729999999926
935,40041;936,18362;[((risos));0,7832100000000537
936,18362;950,53534;...;14,35172
951,2932;952,83579;...;1,5425900000000183
952,83579;954,95939;acho que eu vou na sua casa comer lá [((risos));2,1236000000000104
954,95939;956,20419;...;1,2448000000000548
956,20419;959,57124;e há alguma bebida especial para acompanhar esses [pratos ou (não?);3,3670499999999493
959,57124;984,72328;...;25,152040000000056
986,67088;992,61601;...;5,945129999999949
992,61601;993,13121;[((risos));0,5152000000000498
993,13121;1002,49354;...;9,362330000000043
1002,49354;1003,9887;[((risos));1,4951599999999416
1003,9887;1008,24;...;4,251300000000015
1008,24;1008,6746;[ah é?;0,43460000000004584
1008,6746;1009,4995;...;0,8248999999999569
1011,64097;1026,76;...;15,119029999999952
1027,2932;1027,42423;...;0,13103000000000975
1028,85191;1035,60468;...;6,752769999999828
1038,84022;1055,96474;...;17,124519999999848
1058,09697;1077,44779;...;19,350819999999885
1077,44779;1079,44304;( );1,9952500000001692
1079,44304;1083,83502;...;4,391979999999876
1086,49141;1171,15129;...;84,65987999999993
1171,15129;1172,552;[fica em bolinhas não é esse?;1,40070999999989
1172,552;1174,02436;...;1,4723599999999806
1174,02436;1176,30884;[que nem ( ) com grãos cheio de bolinhas não é esse?;2,2844800000000305
1176,30884;1183,29495;...;6,986110000000053
1183,55537;1191,21331;...;7,657940000000053
